Roll (x), Pitch (Y), Yaw (Z), Time (s)
8.10,14.11,70.82,0.00
5.69,-4.98,-5.19,0.11
8.86,18.61,164.95,0.23
5.61,-8.24,67.65,0.34
8.61,21.53,202.98,0.46
5.53,-9.11,70.82,0.57
8.90,22.36,159.43,0.68
4.71,-10.18,8.74,0.80
8.92,22.09,95.45,0.91
6.10,-15.55,-26.82,1.03
8.73,22.89,61.15,1.14
5.61,-14.97,37.70,1.25
8.97,23.33,98.59,1.37
5.92,-9.77,167.05,1.48
8.95,23.80,164.03,1.60
5.11,-13.73,288.96,1.71
8.94,24.63,251.18,1.82
6.11,-5.73,310.39,1.94
8.55,23.51,252.14,2.05
5.79,0.10,211.78,2.17
8.65,23.29,187.76,2.28
6.80,0.85,218.31,2.39
8.61,21.76,175.82,2.51
6.39,-5.36,63.23,2.62
8.72,20.71,70.43,2.74
5.86,-6.88,-50.85,2.85
8.38,18.36,-23.37,2.96
6.15,-7.41,-67.95,3.08
7.70,13.86,-24.97,3.19
5.25,-7.23,-3.56,3.31
7.64,10.52,-7.37,3.42
6.73,-6.00,74.69,3.53
7.33,7.58,23.35,3.65
8.01,-1.21,79.56,3.76
7.26,8.68,13.49,3.87
8.58,5.74,105.42,3.99
7.31,6.90,16.41,4.10
8.46,10.02,125.44,4.22
7.50,2.80,28.76,4.33
8.61,7.94,138.57,4.44
7.53,-0.50,4.27,4.56
9.01,12.23,120.33,4.67
7.45,-0.16,-6.63,4.78
9.62,13.64,107.46,4.90
6.89,-2.48,-16.67,5.01
9.80,16.08,92.58,5.12
7.59,-4.75,-35.27,5.24
10.02,14.99,104.78,5.35
7.27,-10.82,-41.73,5.47
9.96,19.29,95.11,5.58
6.04,-14.10,-5.33,5.70
9.40,23.26,76.52,5.81
7.40,-12.91,-61.38,5.92
11.57,25.84,54.25,6.04
6.06,-13.25,217.52,6.15
6.96,34.84,460.21,6.26
6.98,-14.38,411.04,6.38
8.89,27.00,347.85,6.49
7.13,-10.93,253.22,6.61
9.16,24.41,165.60,6.72
7.59,-13.97,278.00,6.84
8.92,24.40,167.82,6.95
7.42,-12.12,238.37,7.06
10.20,25.12,126.93,7.18
6.16,-4.21,267.00,7.29
10.82,23.10,73.85,7.41
5.32,0.51,239.02,7.52
10.03,19.21,61.15,7.63
5.64,-7.57,180.71,7.75
8.81,14.77,60.91,7.86
5.41,-4.67,116.54,7.97
7.95,14.04,81.27,8.09
7.06,-2.66,135.23,8.20
7.57,10.95,13.38,8.32
7.79,-3.32,238.02,8.43
7.95,10.56,4.78,8.55
8.19,0.02,65.20,8.66
9.46,5.15,-60.84,8.77
8.57,2.72,59.55,8.89
8.35,3.55,-62.14,9.00
8.87,-1.51,43.13,9.11
8.19,-0.21,-88.14,9.23
9.59,3.68,59.51,9.34
7.85,-0.04,-21.96,9.45
10.50,13.30,88.12,9.57
7.69,-0.99,-2.56,9.68
10.18,15.32,33.92,9.80
7.32,-5.71,100.79,9.91
9.63,19.16,100.26,10.02
6.12,-5.91,128.59,10.14
9.37,18.27,158.64,10.25
6.54,-5.23,204.22,10.36
9.30,21.11,209.00,10.48
6.09,-6.39,197.91,10.59
9.21,22.35,181.99,10.71
5.78,-7.75,152.43,10.82
8.72,24.06,107.04,10.94
5.50,-7.89,124.54,11.05
9.20,23.57,92.61,11.16
5.73,-8.50,101.89,11.28
8.47,23.76,81.86,11.39
5.24,-7.95,75.06,11.51
8.54,23.26,72.57,11.62
5.57,-8.29,44.40,11.73
8.35,25.49,40.16,11.85
6.04,-8.56,26.74,11.96
8.40,23.48,25.81,12.07
5.92,-6.65,19.55,12.19
8.23,20.11,22.20,12.30
6.14,-6.92,3.46,12.42
8.53,19.98,2.76,12.53
6.51,-7.81,9.63,12.65
9.46,20.10,4.17,12.76
6.76,-8.35,36.00,12.87
9.56,15.02,-6.04,12.99
6.39,-5.92,87.37,13.10
8.52,8.36,39.83,13.22
6.24,-0.48,97.42,13.33
9.13,10.50,62.87,13.44
7.63,4.72,135.64,13.56
8.15,6.12,92.68,13.67
7.64,8.24,170.12,13.78
7.13,1.76,120.88,13.90
7.80,12.57,176.71,14.01
6.79,-1.21,102.56,14.13
8.00,10.30,163.60,14.24
6.72,-3.14,123.52,14.35
7.98,16.51,137.95,14.47
6.39,-5.47,131.17,14.58
8.23,20.30,85.88,14.70
6.08,-6.70,118.36,14.81
8.21,20.64,107.59,14.93
6.09,-6.34,137.50,15.04
8.83,20.69,82.63,15.15
5.74,-7.28,130.55,15.27
9.07,21.50,60.74,15.38
5.58,-7.12,105.60,15.49
8.93,23.41,56.05,15.61
5.48,-7.62,116.31,15.72
9.22,22.77,89.09,15.84
5.90,-7.55,101.71,15.95
9.12,22.66,104.85,16.07
5.95,-7.83,91.87,16.18
8.54,23.40,117.01,16.29
5.91,-8.75,76.73,16.41
8.20,24.99,99.83,16.52
6.17,-8.86,69.25,16.64
7.88,26.06,81.90,16.75
6.46,-9.90,66.04,16.86
8.75,22.94,25.56,16.98
7.05,-11.17,74.71,17.09
8.46,25.75,-12.08,17.20
6.87,-9.51,39.33,17.32
8.49,19.55,-53.96,17.43
6.32,-5.47,73.77,17.55
8.06,13.66,-33.34,17.66
6.40,-1.48,122.40,17.77
8.30,10.60,-7.85,17.89
6.42,-4.24,154.95,18.00
8.79,4.99,-0.62,18.12
6.56,0.09,169.20,18.23
8.37,-0.03,2.70,18.34
6.79,7.92,129.62,18.46
7.84,-3.08,44.92,18.57
7.64,13.42,93.54,18.69
8.33,-1.57,88.11,18.80
8.15,16.71,130.01,18.92
7.55,-3.98,177.66,19.03
8.30,20.26,149.26,19.14
6.87,-5.13,203.90,19.26
9.00,21.75,129.46,19.37
6.21,-5.72,193.12,19.49
8.86,21.30,78.11,19.60
5.78,-4.86,164.90,19.71
9.60,20.86,84.07,19.83
5.56,-4.97,148.36,19.94
10.27,20.38,103.59,20.06
5.62,-6.62,130.75,20.17
9.99,20.61,123.67,20.28
5.60,-6.55,121.15,20.40
9.35,21.74,109.64,20.51
5.56,-7.57,84.84,20.62
8.05,24.58,123.39,20.74
5.94,-8.99,67.75,20.85
7.30,26.87,128.67,20.97
6.41,-9.91,67.66,21.08
7.55,26.69,87.23,21.19
6.95,-10.74,38.47,21.31
7.54,30.03,-8.71,21.42
7.15,-9.38,29.75,21.54
8.25,23.99,-60.51,21.65
6.44,-7.85,10.71,21.76
8.83,18.62,-61.47,21.88
6.62,-9.40,51.27,21.99
8.74,13.72,-64.97,22.11
6.62,-7.97,78.89,22.22
9.14,10.03,-69.35,22.33
6.05,-4.14,95.67,22.45
8.93,3.92,-28.11,22.56
6.39,1.73,107.96,22.68
8.65,7.00,25.05,22.79
6.54,5.21,132.10,22.91
8.64,3.66,89.15,23.02
7.92,9.47,149.54,23.13
8.67,0.32,143.49,23.25
7.33,6.81,156.23,23.36
7.84,-1.69,136.97,23.48
7.88,13.27,112.10,23.59
6.99,-3.61,155.16,23.70
8.38,17.37,86.10,23.82
6.14,-3.21,157.02,23.93
9.23,19.66,67.23,24.05
6.49,-2.98,151.22,24.16
9.40,19.66,70.19,24.27
5.61,-3.07,122.80,24.39
9.89,19.16,46.02,24.50
5.96,-6.05,61.31,24.61
9.70,19.75,43.15,24.73
5.57,-7.78,66.03,24.84
10.11,20.75,89.29,24.96
5.72,-6.83,93.41,25.07
9.52,20.75,144.87,25.18
6.23,-8.15,103.54,25.30
8.75,24.87,159.73,25.41
6.56,-9.87,82.38,25.53
7.61,27.84,85.01,25.64
6.33,-8.44,43.00,25.75
