Roll (x), Pitch (Y), Yaw (Z), Time (s)
14.34,-14.87,118.45,0.00
15.02,23.83,138.69,0.11
12.07,-13.51,-69.64,0.23
15.21,19.43,135.44,0.34
14.83,-9.50,-153.04,0.46
16.13,7.19,116.71,0.57
12.54,2.83,-45.95,0.68
11.64,-0.18,213.03,0.80
16.33,12.44,-58.20,0.91
12.23,-6.00,209.23,1.03
15.17,24.36,-0.27,1.14
12.44,-11.39,162.06,1.25
15.46,25.28,112.30,1.37
12.53,-13.63,7.08,1.48
14.61,21.02,168.04,1.60
15.94,1.53,-153.70,1.71
17.83,11.74,96.86,1.82
12.33,4.25,-55.78,1.94
12.17,3.39,230.45,2.05
15.18,8.68,-13.83,2.16
13.43,-6.53,216.30,2.28
15.81,23.49,-37.03,2.39
12.05,-11.71,160.07,2.51
15.70,24.88,144.01,2.62
12.98,-16.17,78.22,2.73
14.63,20.87,222.83,2.85
14.62,-5.50,-116.39,2.96
16.33,12.30,150.17,3.08
12.96,3.38,-59.72,3.19
11.65,0.87,204.58,3.31
14.96,7.27,-44.18,3.42
12.87,-6.09,234.02,3.53
16.62,19.92,-3.20,3.65
12.48,-11.58,233.60,3.76
15.67,24.02,159.10,3.88
12.73,-15.33,136.19,3.99
14.69,19.99,237.50,4.10
14.76,-9.03,-99.93,4.22
16.90,14.66,135.90,4.33
12.76,3.41,-41.94,4.45
12.77,2.74,208.90,4.56
13.66,6.61,-36.01,4.67
13.44,-7.62,209.00,4.79
16.06,23.43,-41.63,4.90
13.06,-10.93,159.14,5.01
15.50,24.84,88.18,5.13
12.19,-14.75,51.85,5.24
14.87,21.15,154.51,5.36
13.36,-12.38,-151.04,5.47
16.32,12.73,134.31,5.59
13.37,3.17,-63.52,5.70
14.45,5.70,220.07,5.81
14.71,7.80,-7.45,5.93
12.55,-4.27,241.22,6.04
16.84,19.73,-40.44,6.16
13.28,-7.02,200.64,6.27
15.69,24.77,73.82,6.38
12.78,-15.79,92.40,6.50
14.84,21.27,203.30,6.61
16.06,-7.67,-118.01,6.72
16.29,17.76,136.37,6.84
12.28,3.56,-77.23,6.95
15.69,6.91,173.05,7.07
14.00,6.71,-52.36,7.18
13.53,-7.21,193.86,7.30
17.06,16.60,-52.72,7.41
13.26,-10.95,222.83,7.52
15.54,24.75,116.39,7.64
11.98,-16.26,221.79,7.75
15.04,22.89,245.24,7.86
14.17,-11.19,-88.67,7.98
15.86,12.12,169.88,8.09
13.35,2.80,-38.02,8.21
13.45,4.83,207.86,8.32
13.75,4.09,-26.84,8.44
12.70,-4.95,239.22,8.55
16.98,20.59,-47.99,8.66
13.39,-6.72,227.01,8.78
15.82,24.51,92.30,8.89
12.14,-12.72,105.85,9.01
14.87,22.70,145.53,9.12
14.25,-15.18,-162.97,9.23
16.54,18.60,101.92,9.35
12.27,2.18,-90.98,9.46
16.04,7.46,168.72,9.57
13.74,6.93,-34.27,9.69
12.45,-4.07,207.50,9.80
17.06,16.60,-72.73,9.92
13.41,-5.43,211.93,10.03
16.50,25.71,33.27,10.15
11.85,-15.88,181.70,10.26
14.72,22.71,213.11,10.37
14.49,-11.78,-50.85,10.49
15.46,19.40,185.56,10.60
12.56,2.97,-71.66,10.72
16.34,8.12,180.18,10.83
13.50,4.24,0.52,10.94
12.77,-5.07,247.86,11.06
15.94,11.42,-35.03,11.17
13.32,-6.01,214.99,11.28
15.72,24.32,75.58,11.40
12.06,-13.37,213.80,11.51
15.58,24.27,213.78,11.63
14.98,-16.89,-5.85,11.74
16.53,18.18,201.98,11.85
13.88,-0.10,-43.43,11.97
15.74,7.03,170.93,12.08
13.56,3.11,-46.40,12.20
