Roll (x), Pitch (Y), Yaw (Z), Time (s)
8.75,-4.99,87.95,0.00
12.76,24.71,25.29,0.11
10.31,-11.46,110.74,0.23
11.78,25.27,140.72,0.34
9.48,-15.08,-90.32,0.46
12.81,16.44,112.13,0.57
12.30,-0.49,-62.10,0.68
13.03,9.09,63.73,0.80
10.82,4.63,-5.05,0.91
9.10,-1.78,174.01,1.03
13.43,13.85,-9.91,1.14
8.97,-7.90,149.04,1.25
12.93,23.69,10.03,1.37
9.64,-10.15,153.11,1.48
12.27,25.40,185.70,1.60
9.60,-13.92,61.48,1.71
12.25,18.09,198.77,1.82
10.67,3.35,-50.87,1.94
13.83,10.53,85.00,2.05
10.18,2.30,18.59,2.17
9.29,3.09,208.01,2.28
12.81,10.39,-7.59,2.39
9.21,-6.85,130.34,2.51
13.02,22.46,33.07,2.62
9.84,-8.36,122.30,2.74
12.59,25.57,140.01,2.85
9.30,-16.17,110.62,2.96
12.85,16.59,228.87,3.08
11.76,-0.29,21.49,3.19
13.29,10.21,119.33,3.31
10.04,2.99,26.43,3.42
8.75,-2.02,181.90,3.53
12.45,7.48,-25.18,3.65
9.10,-8.30,143.77,3.76
13.06,23.85,2.75,3.88
10.18,-11.33,117.33,3.99
12.41,25.44,101.80,4.10
9.04,-11.26,25.85,4.22
12.05,19.09,175.19,4.33
11.95,-7.45,-56.79,4.45
14.20,10.69,85.14,4.56
10.29,2.05,14.78,4.67
9.56,2.40,184.52,4.79
14.10,10.05,-10.15,4.90
9.85,-9.93,64.97,5.02
12.02,23.11,-64.80,5.13
9.19,-6.59,121.96,5.24
13.63,26.06,73.23,5.36
10.37,-16.43,87.64,5.47
11.34,21.84,206.09,5.59
11.15,-1.50,-70.32,5.70
14.22,11.37,81.35,5.81
10.45,2.69,-6.69,5.93
10.90,5.15,192.77,6.04
12.14,8.31,23.56,6.16
9.25,-6.69,190.45,6.27
13.81,20.32,30.86,6.38
9.27,-7.40,193.38,6.50
12.60,24.90,144.08,6.61
9.11,-11.01,171.92,6.72
12.46,18.75,251.23,6.84
12.21,-6.27,-27.14,6.95
13.70,12.86,112.07,7.07
10.00,4.03,32.39,7.18
10.11,2.01,163.49,7.30
11.54,5.95,-8.85,7.41
8.90,-10.68,105.87,7.52
13.03,25.52,-47.37,7.64
10.48,-9.92,107.66,7.75
12.50,26.04,245.66,7.86
10.35,-14.78,80.56,7.98
8.85,29.08,87.75,8.09
8.65,-6.15,16.62,8.21
12.35,15.25,195.15,8.32
10.35,6.35,23.26,8.44
11.03,2.19,124.85,8.55
10.07,11.44,-10.54,8.66
8.08,-3.91,119.25,8.78
11.87,20.22,5.63,8.89
8.74,-8.09,99.65,9.01
11.19,23.56,34.03,9.12
8.54,-8.80,55.49,9.23
10.11,24.49,159.80,9.35
8.80,-6.19,78.44,9.46
11.81,15.79,178.91,9.57
10.75,1.50,42.95,9.69
11.52,7.47,140.80,9.80
10.04,8.01,16.73,9.92
8.14,-6.42,139.37,10.03
11.79,19.12,27.46,10.14
8.92,-10.53,113.77,10.26
11.05,22.61,57.97,10.37
9.72,-11.10,65.19,10.49
9.86,23.56,136.61,10.60
8.15,-8.50,59.09,10.71
11.63,13.41,169.28,10.83
10.21,-1.10,39.08,10.94
10.77,4.30,134.30,11.06
9.85,6.59,-0.73,11.17
7.95,-5.24,126.91,11.28
11.28,21.94,11.52,11.40
8.56,-7.82,102.76,11.51
10.89,22.90,55.91,11.62
10.02,-11.52,63.31,11.74
9.93,24.56,96.89,11.85
9.05,-6.16,34.72,11.97
11.77,15.84,120.83,12.08
10.79,2.62,2.24,12.19
11.28,8.38,122.69,12.31
9.91,6.96,23.22,12.42
7.94,-3.43,144.85,12.54
11.48,19.26,9.66,12.65
9.12,-10.41,99.88,12.77
10.75,22.62,65.92,12.88
9.09,-10.67,76.96,12.99
9.99,25.34,141.06,13.11
7.96,-8.82,85.25,13.22
10.79,16.70,148.85,13.34
9.68,0.07,52.44,13.45
10.23,5.00,151.05,13.56
9.77,6.03,28.91,13.68
7.99,-5.92,160.00,13.79
10.62,15.46,25.40,13.90
8.42,-7.81,133.83,14.02
10.69,23.00,71.19,14.13
10.03,-11.49,80.72,14.25
9.79,24.71,113.04,14.36
7.99,-7.47,64.51,14.48
11.41,15.81,162.41,14.59
9.45,-3.21,59.22,14.70
11.03,8.41,132.73,14.82
9.74,4.51,10.24,14.93
7.57,-4.33,154.61,15.05
11.55,20.87,5.64,15.16
8.26,-6.67,107.53,15.27
10.98,24.09,42.23,15.39
9.60,-13.15,58.02,15.50
10.03,25.29,64.28,15.61
7.77,-8.27,62.85,15.73
10.20,16.71,164.50,15.84
10.44,-0.83,49.80,15.96
11.03,9.95,131.83,16.07
9.71,6.18,19.98,16.18
8.16,-1.44,141.28,16.30
10.65,17.29,-15.93,16.41
8.87,-6.87,107.03,16.53
10.70,22.85,59.04,16.64
10.03,-12.79,69.49,16.75
10.72,24.73,94.56,16.87
8.03,-7.71,74.29,16.98
10.00,20.28,164.63,17.10
9.41,-3.41,81.76,17.21
11.52,12.98,149.19,17.33
9.73,4.75,32.32,17.44
7.62,-4.02,167.79,17.55
10.07,12.11,11.01,17.67
8.28,-7.52,123.49,17.78
10.89,23.58,65.52,17.90
9.55,-13.20,107.98,18.01
10.83,23.76,88.21,18.12
8.17,-7.76,78.08,18.24
10.42,17.72,165.42,18.35
8.85,-4.72,62.10,18.47
11.16,11.90,129.53,18.58
10.37,4.81,30.11,18.69
8.14,-0.95,148.51,18.81
10.45,15.75,3.41,18.92
8.35,-6.43,123.34,19.03
10.53,23.19,42.66,19.15
9.08,-11.76,61.66,19.26
10.68,25.30,53.51,19.38
8.43,-9.08,53.31,19.49
9.96,20.23,130.44,19.60
9.25,-3.19,52.02,19.72
11.42,12.95,138.46,19.83
9.65,4.39,40.62,19.95
9.11,1.91,172.18,20.06
9.95,11.86,31.97,20.17
8.30,-5.74,140.16,20.29
10.82,23.12,37.40,20.40
9.94,-13.31,90.26,20.52
10.48,24.14,86.42,20.63
7.59,-8.86,87.74,20.75
9.61,21.84,167.55,20.86
8.58,-5.32,81.03,20.97
11.51,13.67,138.93,21.09
10.27,3.17,41.56,21.20
7.99,-0.19,173.80,21.32
9.87,8.43,21.66,21.43
8.19,-6.71,146.26,21.54
11.17,21.79,56.84,21.66
9.43,-12.19,110.99,21.77
10.41,23.66,78.89,21.89
8.06,-9.79,85.86,22.00
9.89,20.05,161.96,22.11
8.28,-6.23,68.87,22.23
11.62,13.86,106.90,22.34
10.18,3.50,26.26,22.45
9.23,2.85,141.15,22.57
9.41,7.73,12.16,22.68
7.99,-8.11,145.96,22.80
10.95,23.58,38.46,22.91
8.83,-9.67,96.29,23.02
10.37,24.34,50.08,23.14
9.24,-9.24,61.43,23.25
9.51,21.72,126.81,23.37
8.25,-7.95,53.73,23.48
12.06,14.12,117.57,23.59
10.15,4.34,21.72,23.71
9.45,5.67,151.68,23.82
9.75,9.05,25.09,23.94
7.68,-5.66,144.03,24.05
11.28,22.44,21.39,24.17
8.46,-8.20,96.79,24.28
10.36,23.89,48.17,24.39
7.90,-9.53,70.45,24.51
9.58,23.88,153.02,24.62
8.10,-7.65,95.35,24.74
11.08,13.20,130.55,24.85
10.43,2.47,15.68,24.96
10.20,8.77,120.94,25.08
9.46,7.56,7.08,25.19
7.95,-7.23,151.80,25.31
10.70,18.91,41.72,25.42
8.66,-10.46,128.68,25.53
10.53,22.76,71.83,25.65
8.87,-9.47,87.22,25.76
10.04,24.27,142.39,25.88
8.25,-8.98,48.53,25.99
11.40,12.39,122.80,26.10
10.15,-1.64,7.16,26.22
9.63,7.24,113.39,26.33
9.55,4.68,7.96,26.44
7.52,-6.84,157.75,26.56
10.44,15.19,22.07,26.67
8.46,-8.20,89.90,26.79
10.68,25.01,37.63,26.90
9.63,-11.24,79.24,27.01
9.56,25.16,103.51,27.13
7.53,-7.58,74.50,27.24
11.17,14.40,145.90,27.36
9.96,1.60,48.33,27.47
10.22,9.41,150.82,27.58
9.42,6.81,34.02,27.70
8.05,-4.23,169.22,27.81
10.38,18.98,26.38,27.93
8.37,-7.64,119.48,28.04
10.55,23.73,58.40,28.16
9.04,-8.36,84.26,28.27
10.38,25.19,127.35,28.38
7.62,-10.01,95.74,28.50
12.22,21.77,132.01,28.61
9.99,-0.82,47.25,28.73
11.70,14.80,119.70,28.84
11.21,1.77,-23.80,28.95
7.79,-6.41,142.72,29.07
7.94,11.48,116.54,29.18
7.67,-5.64,153.38,29.30
10.95,26.19,42.70,29.41
9.81,-10.41,87.60,29.52
10.55,26.13,103.51,29.64
7.02,-10.70,149.41,29.75
12.01,22.50,190.02,29.86
11.05,-9.10,-62.63,29.98
9.97,13.69,44.87,30.09
9.46,2.57,-47.12,30.21
8.18,-0.40,112.95,30.32
11.28,18.57,40.12,30.43
8.78,-5.57,69.68,30.55
12.44,24.46,-93.52,30.66
9.38,-9.85,14.12,30.78
9.75,21.47,48.76,30.89
8.27,-9.42,51.77,31.00
9.34,19.75,128.46,31.12
8.08,-10.18,30.18,31.23
9.61,9.08,65.33,31.35
9.76,-1.88,27.59,31.46
8.82,1.89,162.90,31.58
11.56,18.00,-35.09,31.69
9.07,-0.56,113.89,31.80
9.55,12.46,83.17,31.92
8.53,-11.47,109.96,32.03
10.50,24.06,5.99,32.15
7.40,-9.13,75.01,32.26
10.07,25.67,122.73,32.37
7.72,-9.48,88.96,32.49
11.48,18.08,104.86,32.60
9.30,-4.64,50.50,32.72
9.23,2.21,1.57,32.83
9.63,4.10,-70.10,32.94
7.10,-4.13,171.26,33.06
9.75,12.60,46.45,33.17
8.26,-9.93,147.27,33.28
11.10,22.34,53.80,33.40
9.47,-11.74,95.97,33.51
9.97,26.17,107.64,33.63
7.80,-8.77,72.34,33.74
11.05,14.82,165.05,33.85
8.58,-5.34,48.47,33.97
10.00,12.00,73.41,34.08
9.91,2.74,-1.72,34.20
7.71,0.55,200.53,34.31
9.55,9.36,49.01,34.42
8.01,-7.46,140.69,34.54
10.69,22.80,39.61,34.65
9.61,-11.71,64.24,34.77
9.79,26.72,54.42,34.88
7.70,-10.09,33.70,34.99
10.25,17.49,150.42,35.11
9.47,-4.59,48.44,35.22
10.61,9.78,77.14,35.34
9.23,6.14,8.85,35.45
8.41,2.79,187.09,35.56
9.69,12.16,53.78,35.68
7.82,-9.01,154.42,35.79
11.08,22.09,41.67,35.91
9.07,-11.49,93.77,36.02
10.01,25.61,97.16,36.13
7.47,-9.63,81.13,36.25
9.65,21.17,164.31,36.36
8.54,-5.00,60.26,36.48
11.21,12.14,60.56,36.59
9.53,3.62,0.20,36.71
7.82,2.07,174.73,36.82
9.39,8.78,34.41,36.93
7.90,-9.83,176.60,37.05
11.19,21.25,62.98,37.16
10.05,-11.05,105.35,37.27
9.88,26.83,77.10,37.39
7.68,-10.31,50.07,37.50
10.28,17.34,153.53,37.62
8.14,-7.26,42.38,37.73
10.60,10.25,69.77,37.84
9.94,3.28,3.29,37.96
8.55,4.30,184.85,38.07
9.78,12.35,46.93,38.19
7.90,-9.10,153.84,38.30
10.93,21.96,40.59,38.41
9.34,-11.04,96.57,38.53
10.01,25.91,44.45,38.64
8.28,-11.01,42.56,38.76
9.65,21.40,140.36,38.87
8.53,-5.46,64.69,38.98
11.23,12.56,57.93,39.10
9.72,3.93,-4.18,39.21
9.14,8.73,169.67,39.33
9.49,9.04,52.72,39.44
7.91,-8.82,172.79,39.55
11.08,21.13,62.37,39.67
9.79,-10.77,96.31,39.78
10.17,23.94,65.95,39.90
7.60,-10.66,70.84,40.01
9.24,23.47,163.54,40.12
8.05,-7.67,90.79,40.24
10.77,10.69,87.63,40.35
9.84,2.77,16.57,40.47
8.48,2.76,138.11,40.58
9.15,7.45,21.86,40.69
7.64,-9.68,201.14,40.81
10.43,17.83,63.92,40.92
9.16,-10.36,132.00,41.03
9.90,26.06,59.87,41.15
8.28,-10.55,71.92,41.26
9.50,22.45,153.23,41.38
7.53,-6.28,65.61,41.49
11.16,12.67,80.49,41.60
9.51,-0.43,23.20,41.72
9.10,9.80,91.01,41.83
9.61,9.46,4.49,41.95
7.37,-7.18,140.88,42.06
11.30,21.78,25.72,42.17
8.53,-8.62,90.46,42.29
10.34,25.89,20.80,42.40
8.69,-11.19,51.30,42.52
9.20,24.99,119.16,42.63
8.03,-7.48,73.56,42.74
11.34,12.40,90.94,42.86
9.56,1.55,29.11,42.97
9.46,9.68,132.61,43.09
9.03,7.94,32.20,43.20
7.71,-3.35,177.69,43.31
10.53,18.74,40.92,43.43
8.69,-11.44,122.33,43.54
10.51,22.20,63.36,43.66
8.22,-10.35,73.69,43.77
9.26,25.29,154.68,43.88
7.94,-7.64,98.46,44.00
11.32,12.24,123.14,44.11
9.17,-1.69,36.34,44.23
9.09,7.62,111.22,44.34
9.37,5.23,12.23,44.45
7.33,-7.17,175.25,44.57
10.06,15.34,44.99,44.68
8.20,-9.32,132.30,44.80
10.22,24.43,58.22,44.91
9.20,-11.51,71.08,45.02
9.37,24.30,119.77,45.14
7.72,-8.56,79.16,45.25
11.18,12.69,133.88,45.37
9.45,-3.48,25.84,45.48
9.63,9.49,83.67,45.59
9.29,8.10,-2.48,45.71
7.54,-4.32,155.27,45.82
10.62,20.16,16.34,45.94
8.06,-7.51,109.02,46.05
10.41,23.37,37.67,46.16
8.24,-9.71,69.49,46.28
9.51,26.65,151.12,46.39
7.66,-7.47,93.01,46.51
11.07,15.04,97.46,46.62
9.58,-2.11,34.74,46.73
10.60,12.32,100.57,46.85
8.97,5.43,37.58,46.96
7.32,-7.70,194.83,47.08
10.34,16.77,58.35,47.19
8.20,-9.06,132.16,47.30
10.51,22.51,53.03,47.42
8.94,-11.52,84.79,47.53
9.50,27.15,132.23,47.65
7.30,-9.20,111.56,47.76
10.98,13.41,161.68,47.87
9.14,-4.28,54.07,47.99
9.82,9.62,108.72,48.10
9.51,4.58,15.50,48.22
7.60,-4.75,182.70,48.33
9.98,11.75,36.38,48.44
7.88,-7.86,134.86,48.56
10.54,22.51,53.78,48.67
9.71,-10.76,90.64,48.78
9.70,26.85,91.58,48.90
7.77,-9.22,61.22,49.01
11.11,16.22,135.39,49.13
8.47,-5.79,40.45,49.24
10.61,11.22,74.12,49.35
9.38,5.72,1.18,49.47
7.77,-1.39,163.66,49.58
10.60,15.98,31.57,49.70
8.12,-9.01,111.90,49.81
10.92,23.23,25.69,49.92
9.07,-11.55,80.62,50.04
9.74,26.44,120.86,50.15
7.76,-9.27,94.74,50.27
10.15,17.12,138.35,50.38
8.98,-3.21,55.41,50.49
10.92,13.61,95.24,50.61
9.61,5.93,8.03,50.72
8.37,4.88,185.72,50.84
10.03,11.82,41.70,50.95
8.15,-8.39,124.39,51.06
10.93,22.41,43.37,51.18
9.58,-11.04,81.83,51.29
10.18,26.11,88.71,51.41
7.43,-9.92,106.52,51.52
9.80,21.18,172.56,51.63
8.37,-5.10,79.72,51.75
10.51,12.38,86.49,51.86
9.25,3.46,29.46,51.98
7.68,-1.32,179.46,52.09
9.14,9.89,47.07,52.21
7.98,-9.68,154.28,52.32
10.61,22.45,60.17,52.43
9.39,-11.23,91.10,52.55
9.56,26.98,64.37,52.66
7.72,-9.90,84.83,52.78
10.12,18.43,172.56,52.89
8.16,-6.74,75.94,53.00
10.81,13.54,94.52,53.12
9.41,5.13,12.23,53.23
8.33,3.92,171.64,53.35
9.89,11.89,45.43,53.46
7.69,-7.36,143.94,53.57
10.71,23.01,40.19,53.69
8.85,-10.21,76.20,53.80
10.03,25.83,38.76,53.92
7.42,-10.04,63.07,54.03
9.65,21.72,148.10,54.14
8.56,-5.18,75.30,54.26
11.12,11.38,83.25,54.37
9.37,4.27,8.37,54.49
7.68,-1.30,159.24,54.60
9.26,10.09,34.22,54.71
7.85,-10.24,163.86,54.83
10.60,19.86,56.44,54.94
8.95,-11.73,112.63,55.05
10.22,23.93,74.96,55.17
7.80,-11.29,112.78,55.28
10.17,18.07,186.34,55.40
8.04,-5.71,104.06,55.51
11.00,14.31,94.39,55.62
9.83,1.83,16.18,55.74
8.63,5.53,123.12,55.85
9.33,7.09,12.63,55.97
7.58,-8.53,152.68,56.08
11.07,22.93,40.76,56.19
8.52,-9.64,83.61,56.31
10.15,26.31,36.40,56.42
8.09,-9.37,81.04,56.54
9.40,22.00,154.49,56.65
7.50,-7.72,88.81,56.76
11.59,12.38,112.04,56.88
9.25,2.49,39.86,56.99
