Roll (x), Pitch (Y), Yaw (Z), Time (s)
-5.36,-0.76,80.90,0.00
-5.33,-0.71,79.37,0.11
-5.35,-0.74,75.56,0.23
-5.32,-0.70,78.27,0.34
-5.37,-0.77,78.74,0.46
-5.34,-0.72,80.19,0.57
-5.32,-0.70,80.79,0.68
-5.33,-0.74,78.49,0.80
-5.34,-0.75,78.85,0.91
-5.34,-0.74,77.92,1.03
-5.37,-0.72,81.19,1.22
-5.35,-0.70,81.83,1.34
-5.34,-0.68,82.37,1.45
-5.31,-0.69,82.94,1.56
-5.34,-0.71,81.61,1.68
-5.33,-0.75,81.34,1.79
-5.31,-0.71,83.59,1.91
-5.38,-0.70,80.83,2.02
-5.33,-0.77,81.49,2.13
-5.36,-0.65,80.56,2.25
-5.42,-0.69,78.61,2.44
-5.33,-0.70,81.25,2.56
-5.33,-0.70,80.09,2.67
-5.36,-0.73,82.64,2.79
-5.28,-0.72,81.67,2.90
-5.36,-0.70,81.23,3.01
-5.36,-0.72,80.41,3.13
-5.31,-0.66,80.66,3.24
-5.33,-0.67,82.26,3.36
-5.33,-0.68,82.63,3.47
-5.31,-0.69,83.80,3.68
-5.34,-0.72,82.43,3.80
-5.36,-0.69,84.57,3.91
-5.41,-0.70,84.04,4.02
-5.33,-0.72,85.13,4.14
-5.32,-0.74,82.63,4.25
-5.33,-0.72,81.92,4.37
-5.39,-0.74,80.81,4.48
-5.30,-0.70,80.06,4.59
-5.33,-0.71,79.41,4.71
-5.35,-0.70,83.26,4.90
-5.34,-0.69,81.36,5.02
-5.33,-0.72,80.55,5.13
-5.30,-0.77,80.89,5.25
-5.26,-0.72,82.00,5.36
-5.33,-0.70,80.51,5.47
-5.32,-0.78,80.85,5.59
-5.33,-0.71,80.09,5.70
-5.31,-0.72,78.09,5.82
-5.37,-0.69,78.85,5.93
-5.32,-0.73,80.88,6.14
-5.36,-0.77,82.66,6.26
-5.37,-0.74,83.06,6.37
-5.35,-0.73,80.29,6.48
-5.21,-0.70,79.15,6.60
-5.32,-0.75,81.32,6.71
-5.37,-0.72,79.31,6.82
-5.36,-0.76,79.32,6.94
-5.33,-0.78,81.49,7.05
-5.34,-0.75,82.50,7.17
-5.37,-0.68,80.26,7.36
-5.29,-0.74,74.31,7.48
-5.30,-0.71,76.24,7.59
-5.31,-0.69,79.47,7.70
-5.27,-0.77,79.41,7.82
-5.33,-0.74,82.53,7.93
-5.34,-0.72,81.22,8.05
-5.33,-0.67,77.59,8.16
-5.33,-0.70,80.28,8.27
-5.35,-0.74,80.71,8.39
-5.33,-0.70,81.33,8.60
-5.34,-0.72,82.89,8.71
-5.36,-0.67,82.31,8.83
-5.33,-0.73,84.21,8.94
-5.31,-0.72,81.58,9.06
-5.34,-0.70,81.55,9.17
-5.32,-0.72,80.82,9.28
-5.37,-0.72,80.18,9.40
-5.35,-0.69,78.67,9.51
-5.31,-0.70,80.82,9.63
-5.35,-0.70,80.01,9.82
-5.25,-0.70,82.25,9.94
-5.35,-0.67,83.00,10.05
-5.32,-0.70,83.60,10.16
-5.32,-0.79,84.61,10.28
-5.37,-0.79,83.18,10.39
-5.30,-0.67,82.17,10.51
-5.29,-0.72,80.94,10.62
-5.35,-0.69,82.25,10.73
-5.39,-0.77,82.06,10.85
-5.29,-0.72,82.15,11.06
-5.31,-0.72,80.75,11.17
-5.36,-0.67,79.85,11.29
-5.31,-0.72,81.66,11.40
-5.36,-0.72,81.73,11.52
-5.36,-0.76,80.70,11.63
-5.37,-0.74,79.95,11.74
-5.35,-0.78,81.40,11.86
-5.32,-0.74,82.52,11.97
-5.33,-0.70,82.09,12.09
-5.36,-0.70,81.32,12.28
-5.34,-0.71,81.56,12.40
-5.37,-0.76,80.83,12.51
-5.25,-0.69,83.33,12.62
-5.33,-0.74,82.32,12.74
-5.33,-0.68,74.26,12.85
-5.27,-0.68,79.63,12.97
-5.37,-0.68,81.36,13.08
-5.33,-0.76,80.86,13.19
-5.35,-0.72,81.39,13.31
-5.34,-0.71,81.75,13.52
-5.35,-0.74,80.35,13.63
-5.40,-0.73,80.82,13.75
-5.33,-0.69,82.29,13.86
-5.39,-0.74,81.86,13.98
-5.34,-0.72,81.71,14.09
-5.39,-0.75,81.88,14.20
-5.28,-0.69,81.75,14.32
-5.28,-0.71,80.41,14.43
-5.31,-0.73,78.57,14.55
-5.36,-0.72,81.76,14.74
-5.34,-0.69,83.96,14.85
-5.31,-0.74,82.00,14.97
-5.35,-0.80,80.46,15.08
-5.30,-0.67,82.00,15.20
-5.31,-0.74,81.22,15.31
-5.32,-0.73,82.43,15.43
-5.34,-0.72,82.77,15.54
-5.35,-0.68,82.48,15.65
-5.36,-0.69,80.96,15.77
-5.29,-0.72,79.88,15.98
-5.32,-0.72,81.05,16.09
-5.34,-0.72,81.45,16.21
-5.29,-0.68,81.52,16.32
-5.37,-0.74,80.41,16.43
-5.36,-0.70,81.50,16.55
-5.38,-0.74,82.42,16.66
-5.34,-0.71,79.91,16.78
-5.27,-0.78,80.96,16.89
-5.37,-0.72,83.14,17.00
-5.30,-0.77,83.79,17.20
-5.38,-0.70,85.23,17.32
-5.36,-0.72,83.61,17.43
-5.29,-0.74,83.50,17.54
-5.33,-0.62,81.37,17.66
-5.28,-0.72,80.55,17.77
-5.39,-0.67,82.12,17.89
-5.30,-0.71,83.00,18.00
-5.34,-0.71,83.59,18.11
-5.40,-0.70,81.60,18.23
-5.31,-0.72,79.63,18.42
-5.36,-0.74,78.10,18.54
-5.32,-0.73,79.56,18.65
-5.35,-0.66,80.45,18.76
-5.35,-0.70,78.59,18.88
-5.38,-0.75,77.54,18.99
-5.40,-0.73,78.38,19.11
-5.33,-0.70,77.83,19.22
-5.44,-0.72,78.14,19.33
-5.28,-0.68,80.78,19.45
-5.33,-0.69,81.29,19.66
-5.30,-0.72,82.68,19.77
-5.31,-0.71,82.35,19.89
-5.34,-0.68,82.25,20.00
-5.35,-0.71,83.88,20.12
-5.37,-0.71,83.60,20.23
-5.33,-0.71,83.71,20.34
-5.33,-0.78,82.89,20.46
-5.29,-0.69,81.25,20.57
