Roll (x), Pitch (Y), Yaw (Z), Time (s)
13.54,-13.26,-0.83,0.00
11.97,17.30,-0.68,0.10
15.01,-20.31,-8.12,0.21
17.75,-33.04,-11.62,0.31
16.75,15.35,-0.65,0.42
10.81,3.06,-7.68,0.52
5.84,8.05,6.94,0.62
15.98,7.47,-6.31,0.73
11.36,0.13,-2.38,0.83
8.15,18.63,2.04,0.94
13.03,-10.06,-15.36,1.18
13.63,8.30,-6.06,1.28
9.63,-2.29,-13.47,1.39
11.51,-5.14,-23.85,1.49
8.89,1.41,-3.40,1.60
10.16,15.93,-17.57,1.70
7.56,1.56,-10.37,1.80
9.57,23.10,-2.09,1.91
11.45,12.34,-20.53,2.01
18.50,10.35,-13.47,2.12
10.41,7.25,-19.98,2.36
9.54,5.03,-4.64,2.47
13.77,15.19,-4.91,2.57
13.95,24.51,-27.31,2.67
8.23,0.64,-17.22,2.78
12.55,24.77,-9.11,2.88
6.82,5.15,-25.80,2.99
12.51,16.88,-17.92,3.09
12.64,6.24,-23.92,3.19
8.53,1.13,-8.02,3.30
13.78,15.50,-8.00,3.57
4.84,-9.70,-14.24,3.67
11.69,16.80,-5.84,3.78
14.96,29.45,4.35,3.88
8.53,18.32,-11.37,3.98
16.40,22.22,-4.28,4.09
5.97,14.14,-10.74,4.19
9.01,-4.45,3.46,4.29
11.96,19.37,2.39,4.40
5.82,-14.33,-2.74,4.50
6.57,21.37,6.54,4.77
7.28,2.84,0.96,4.88
8.03,3.58,6.05,4.98
4.72,4.70,32.40,5.08
17.12,10.72,13.87,5.19
9.86,4.78,17.34,5.29
8.34,18.82,20.86,5.40
15.29,-7.76,-1.34,5.50
19.80,7.23,5.97,5.60
11.60,2.35,-4.52,5.71
9.71,5.02,8.24,5.98
12.10,14.75,6.60,6.08
6.94,8.60,0.91,6.19
12.30,-28.88,0.42,6.29
22.94,3.37,7.17,6.40
10.33,-18.24,1.05,6.50
5.24,5.42,16.23,6.60
19.16,-0.76,2.13,6.71
12.29,-1.02,7.10,6.81
11.10,19.60,8.63,6.92
20.74,12.27,-11.74,7.19
20.58,12.53,-1.87,7.29
14.38,-2.16,-11.36,7.40
10.25,-15.46,-17.01,7.50
6.55,7.33,2.07,7.60
16.94,-10.27,-9.02,7.71
13.89,-6.68,-3.88,7.81
11.72,18.98,-1.78,7.92
15.46,-5.99,-20.90,8.02
14.27,8.32,-9.51,8.12
14.19,-6.09,-17.42,8.39
11.72,1.98,-5.49,8.49
9.58,15.09,-7.24,8.59
12.23,9.61,-22.53,8.70
9.16,0.49,-3.86,8.80
13.38,18.56,-4.55,8.91
4.74,-9.21,-14.82,9.01
11.29,11.40,-5.45,9.11
6.64,1.71,-9.09,9.22
5.84,3.77,-2.24,9.32
8.49,13.03,-10.20,9.58
7.88,-18.76,0.56,9.69
8.80,12.58,4.53,9.79
15.51,24.75,2.81,9.89
3.62,-8.06,-8.52,10.00
8.13,24.71,2.79,10.10
11.01,6.03,-1.83,10.20
18.30,-6.50,7.83,10.31
12.62,9.68,-2.50,10.41
8.20,-17.15,7.77,10.52
11.67,17.14,11.73,10.79
5.11,5.00,-0.07,10.90
6.56,12.38,9.24,11.00
13.58,32.17,21.32,11.10
7.78,7.94,11.90,11.21
9.34,-2.60,15.61,11.31
8.94,12.10,5.86,11.42
6.64,-21.22,15.27,11.52
4.73,12.70,18.72,11.62
5.33,3.90,7.08,11.73
2.77,9.74,18.18,12.01
3.97,5.54,6.99,12.11
11.21,-5.57,13.54,12.22
9.38,2.64,20.45,12.32
8.29,16.07,11.38,12.43
8.87,-12.16,13.63,12.53
20.13,13.83,18.16,12.64
14.36,-8.65,13.83,12.74
10.37,3.19,25.86,12.84
15.98,6.17,13.29,12.95
12.96,1.37,19.60,13.22
10.57,19.98,19.64,13.33
18.70,-6.95,-0.76,13.43
7.43,-30.90,17.27,13.53
11.02,8.58,20.44,13.64
6.84,6.47,5.96,13.74
7.40,12.58,15.69,13.85
6.59,6.59,3.36,13.95
11.58,-6.07,10.30,14.05
11.50,17.88,11.37,14.16
21.94,-29.73,2.23,14.43
21.61,-2.16,11.24,14.53
14.07,-3.63,3.81,14.64
6.49,11.96,-17.89,14.74
8.06,15.04,-5.89,14.85
7.92,5.95,-16.23,14.95
13.25,-4.78,-5.64,15.05
12.14,16.90,-3.44,15.16
4.82,-27.36,-12.57,15.26
15.95,2.41,-1.92,15.37
8.02,4.79,-9.00,15.64
7.95,8.31,-2.74,15.74
9.28,14.63,-5.53,15.85
12.49,6.68,-21.25,15.95
14.23,-12.22,-5.66,16.05
12.47,15.81,-5.34,16.16
9.48,-10.62,-11.30,16.26
13.81,13.40,2.73,16.36
9.92,-1.23,-7.30,16.47
11.76,-1.22,-0.47,16.57
9.33,12.70,-5.19,16.85
8.71,-19.67,3.23,16.96
14.17,5.97,7.68,17.06
13.49,21.36,1.75,17.16
10.00,-1.79,-7.70,17.27
10.07,-3.62,10.04,17.37
10.33,11.91,-1.83,17.48
6.82,1.38,10.91,17.58
8.48,16.57,-1.53,17.68
5.91,-1.81,6.63,17.79
10.69,25.43,10.29,18.06
8.56,14.26,-4.55,18.17
19.11,19.85,-1.07,18.27
-6.13,29.76,25.58,18.38
2.03,-6.17,11.90,18.48
5.36,-0.40,26.62,18.58
11.81,13.80,8.01,18.69
7.73,3.16,13.43,18.79
7.92,22.53,17.85,18.89
4.66,10.86,-0.91,19.00
13.42,17.45,5.06,19.28
7.38,8.94,-5.24,19.38
8.94,0.14,6.72,19.48
17.49,-25.17,25.21,19.59
11.37,8.48,9.20,19.69
6.30,-3.59,17.41,19.80
11.60,25.39,19.89,19.90
10.77,3.62,4.84,20.00
18.38,16.74,9.40,20.11
14.92,5.72,-0.45,20.21
13.50,-1.12,11.43,20.49
13.82,21.18,10.01,20.60
8.66,-19.48,1.07,20.70
5.32,2.40,10.60,20.81
9.84,23.48,14.92,20.91
6.86,12.07,-5.46,21.01
26.76,6.88,0.90,21.12
15.83,5.36,-8.83,21.22
10.65,11.10,6.32,21.32
14.01,15.61,5.48,21.43
9.95,10.25,-1.42,21.71
13.62,22.06,3.18,21.81
9.33,6.12,-3.43,21.91
10.37,2.08,-28.85,22.02
18.89,11.41,-19.56,22.12
12.82,4.59,-26.39,22.23
11.42,-4.56,-8.11,22.33
13.23,18.48,-7.81,22.43
3.40,-8.93,-16.49,22.54
12.09,23.19,-6.48,22.64
8.30,3.02,-12.15,22.91
10.14,-3.56,-7.13,23.02
10.13,11.25,-14.14,23.12
12.86,-17.06,-23.24,23.23
8.62,3.14,-13.56,23.33
8.70,19.14,-16.93,23.43
8.61,-13.32,-15.51,23.54
12.99,28.00,-5.58,23.64
8.72,0.89,-15.18,23.75
5.30,8.39,-0.76,23.85
11.11,10.57,-11.35,24.13
8.98,5.07,-2.86,24.23
8.95,21.62,1.34,24.33
8.66,22.94,-15.31,24.44
7.88,-14.58,0.20,24.54
9.66,14.88,6.45,24.65
6.11,6.73,-4.91,24.75
4.71,6.73,8.05,24.85
6.75,4.56,-2.23,24.96
14.90,-5.81,8.79,25.06
11.70,19.56,9.31,25.33
12.46,-31.58,-0.23,25.44
19.03,-2.61,9.25,25.54
9.53,28.32,19.00,25.65
11.11,-0.46,9.81,25.75
12.28,5.27,21.81,25.85
9.14,2.96,9.05,25.96
12.40,-5.36,15.65,26.06
11.23,19.55,16.10,26.17
11.33,-10.72,-0.31,26.27
22.06,6.27,6.58,26.56
9.70,5.38,1.26,26.66
7.58,12.81,4.70,26.76
9.76,1.49,30.72,26.87
11.92,3.11,16.32,26.97
12.35,-2.85,22.68,27.08
10.66,18.53,22.94,27.18
17.59,-8.19,-0.82,27.28
24.41,10.43,5.67,27.39
15.69,0.86,-1.47,27.49
12.19,12.57,4.77,27.77
13.26,17.03,1.78,27.88
14.31,-9.31,-4.52,27.98
12.34,-11.55,9.03,28.08
11.02,17.45,10.22,28.19
23.82,-30.72,-0.95,28.29
19.15,-1.75,9.02,28.40
13.42,-4.01,2.23,28.50
8.81,8.12,4.97,28.60
10.92,15.24,1.63,28.71
11.30,-20.80,1.30,28.98
10.82,10.69,4.81,29.08
10.35,-14.32,-1.69,29.19
3.27,-15.43,-20.54,29.29
12.43,9.03,-3.84,29.40
16.83,-3.62,-13.76,29.50
12.29,1.60,-6.43,29.60
7.13,14.81,-10.82,29.71
8.55,-11.11,-3.69,29.81
11.68,13.52,3.67,29.92
9.90,2.38,-3.45,30.19
10.40,22.29,2.88,30.29
16.72,6.41,-10.24,30.40
7.23,-0.65,-18.69,30.50
11.33,-13.33,-2.77,30.60
10.69,-16.21,-7.96,30.71
7.37,-13.08,7.42,30.81
9.19,16.79,10.93,30.92
12.11,-13.14,-5.19,31.02
8.15,14.05,8.25,31.12
8.36,6.73,-1.58,31.40
9.40,-4.39,7.84,31.51
13.03,14.73,9.04,31.61
14.58,28.38,-18.21,31.71
14.69,2.78,-0.77,31.82
10.42,27.04,1.04,31.92
16.71,19.44,-26.80,32.03
21.71,34.51,-17.93,32.13
21.12,17.46,-27.57,32.23
14.68,12.12,-17.18,32.34
13.36,16.72,-14.81,32.62
12.94,11.59,-22.17,32.72
14.37,28.72,-14.19,32.83
14.73,24.87,-13.15,32.93
14.91,-10.45,-12.93,33.03
9.26,29.05,-0.92,33.14
4.28,-5.19,-10.34,33.24
5.07,12.60,2.74,33.35
4.01,3.58,4.73,33.45
4.97,3.09,3.31,33.55
5.93,18.03,5.17,33.83
4.32,3.84,-1.33,33.94
9.93,17.95,0.98,34.04
5.85,35.38,21.68,34.15
7.84,7.35,18.32,34.25
7.10,16.64,21.70,34.35
4.45,16.68,13.10,34.46
5.21,1.74,12.05,34.56
5.34,18.15,9.35,34.67
4.26,-5.48,9.94,34.77
5.43,-1.06,7.63,35.05
8.01,-5.05,2.16,35.15
3.36,3.54,6.10,35.26
2.35,13.16,7.60,35.36
3.33,13.24,6.04,35.46
7.04,-6.09,8.44,35.57
4.92,22.08,8.83,35.67
3.96,-13.07,7.61,35.78
7.51,10.94,7.56,35.88
8.21,-3.10,6.68,35.98
2.82,-1.12,8.33,36.28
4.88,13.65,7.15,36.38
2.24,-5.31,5.00,36.48
3.07,-7.90,5.07,36.59
5.61,21.62,3.42,36.69
8.69,-11.49,0.44,36.79
5.19,7.37,0.94,36.90
6.41,17.35,-7.86,37.00
4.78,1.02,-5.89,37.11
2.14,21.98,-1.42,37.21
1.21,-6.70,1.96,37.48
1.43,13.03,2.48,37.59
2.04,4.05,4.65,37.69
4.88,-7.23,8.23,37.79
7.11,2.65,4.39,37.90
2.53,13.35,3.31,38.00
2.99,-2.86,3.46,38.11
3.77,15.22,3.78,38.21
1.00,-8.76,6.57,38.31
1.05,13.52,3.10,38.42
0.36,3.72,6.49,38.69
1.23,-1.91,4.59,38.79
3.09,16.67,2.71,38.89
0.65,22.01,-0.44,39.00
1.40,-1.62,0.96,39.10
1.75,19.38,0.39,39.21
3.90,-0.12,-2.33,39.31
4.12,14.83,-3.74,39.41
3.36,12.02,-4.67,39.52
2.56,0.00,-4.38,39.62
3.26,16.76,-3.02,39.89
2.05,-9.13,1.21,39.99
3.36,9.88,-1.83,40.09
1.87,31.41,-3.52,40.20
3.09,0.20,0.11,40.30
4.13,6.05,-2.28,40.40
4.93,15.79,-2.20,40.51
3.02,-1.51,-1.57,40.61
5.58,14.41,-0.84,40.72
1.84,-10.94,3.58,40.82
0.85,14.48,0.19,41.09
0.92,0.57,6.30,41.19
2.06,-0.67,4.55,41.29
1.71,11.71,-3.91,41.40
3.48,16.60,-1.34,41.50
2.55,-3.10,-0.58,41.61
4.83,21.54,-2.32,41.71
5.47,-12.86,1.31,41.81
6.23,6.05,-0.61,41.92
9.83,-11.29,2.09,42.02
5.58,-6.46,1.13,42.28
2.64,15.91,1.40,42.39
-0.79,-4.59,3.64,42.49
1.24,-10.62,3.68,42.60
4.58,18.54,0.97,42.70
3.20,-1.12,3.23,42.81
0.81,11.07,1.10,42.91
7.75,-4.64,1.74,43.01
4.62,-2.39,0.01,43.12
3.12,16.12,1.26,43.22
0.22,-6.29,4.31,43.49
0.89,16.55,2.01,43.59
2.70,4.36,5.11,43.70
4.90,-3.86,9.32,43.80
7.55,4.17,3.40,43.90
5.15,15.34,3.23,44.01
3.06,-1.40,3.14,44.11
3.62,17.87,2.38,44.22
2.16,-3.66,5.91,44.32
-1.80,17.09,1.88,44.42
-2.32,3.81,8.72,44.69
-0.84,-0.98,5.70,44.80
1.46,16.91,4.52,44.90
2.79,20.59,4.15,45.00
1.74,-1.58,4.10,45.11
2.85,20.57,2.07,45.21
1.70,1.31,4.02,45.32
4.69,13.18,1.41,45.42
2.02,10.11,0.59,45.52
2.11,0.56,-0.61,45.63
2.12,17.36,1.17,45.90
1.25,-5.71,5.12,46.00
1.41,13.98,2.47,46.11
3.51,27.01,-3.16,46.21
5.85,-1.06,0.02,46.31
5.34,7.99,-4.58,46.42
4.10,11.05,-2.48,46.52
2.64,-2.94,-1.99,46.63
3.39,18.82,-2.74,46.73
4.07,-7.28,2.45,46.83
5.29,14.27,-0.81,47.10
3.98,2.73,4.48,47.20
4.98,-2.44,2.20,47.31
6.10,0.19,-6.90,47.41
6.24,9.23,-5.12,47.51
2.40,-4.00,-4.19,47.62
4.38,20.32,-6.16,47.72
2.87,-0.78,-2.62,47.83
1.56,11.38,-4.18,47.93
7.88,-2.05,-2.73,48.03
3.16,-2.44,-4.27,48.30
2.63,16.63,-2.09,48.40
1.55,-8.04,1.61,48.51
0.59,-9.14,2.85,48.61
2.82,22.29,-0.53,48.72
2.39,-1.17,2.91,48.82
2.68,11.70,-0.15,48.92
