Row (x), Pitch (Y), Yaw (Z), Time (s)
7.47,5.79,1.76,0.00
7.72,5.28,1.96,0.10
7.29,5.49,2.04,0.21
7.83,5.30,2.11,0.31
5.17,-4.04,-0.69,0.42
6.05,9.33,1.13,0.52
5.93,-1.39,-0.99,0.62
10.75,-5.86,6.19,0.73
7.78,9.48,2.43,0.83
7.92,2.18,3.22,0.94
7.25,-1.08,4.80,1.19
9.09,11.09,6.98,1.29
6.96,2.68,4.83,1.39
6.09,19.08,4.91,1.50
9.84,3.66,-3.78,1.60
7.85,-0.23,-2.41,1.71
7.54,10.05,-1.62,1.81
9.09,-1.00,-4.26,1.91
11.07,11.20,-0.87,2.02
4.70,6.84,-0.13,2.12
10.46,-4.38,-1.87,2.38
12.26,-1.89,2.04,2.48
10.75,4.54,-0.56,2.59
9.48,0.95,0.91,2.69
8.30,11.87,3.02,2.80
8.53,1.39,2.63,2.90
6.86,21.98,2.10,3.00
14.50,-0.27,-4.91,3.11
8.76,-0.58,-2.86,3.21
8.65,11.44,-1.63,3.32
7.32,12.16,-4.95,3.58
6.86,-2.81,-7.64,3.68
6.46,15.47,-4.39,3.78
1.03,10.08,-5.43,3.89
7.59,17.91,-3.80,3.99
8.73,12.26,-5.99,4.09
6.97,2.16,-4.66,4.20
8.58,12.01,-2.66,4.30
7.97,-0.44,-6.19,4.41
9.71,8.21,-6.66,4.51
7.34,19.29,-0.72,4.77
7.29,0.84,-4.36,4.88
5.64,7.08,0.19,4.98
5.56,13.25,-2.57,5.09
5.54,1.85,-1.12,5.19
5.44,14.70,-1.03,5.30
3.09,0.10,0.92,5.40
9.98,-4.75,4.74,5.50
7.58,4.47,-0.20,5.61
6.60,0.73,1.72,5.71
7.27,-6.82,6.59,5.96
7.15,10.97,6.12,6.07
6.11,0.95,3.24,6.17
9.49,13.78,4.55,6.28
7.58,2.33,0.56,6.38
4.95,9.21,0.65,6.48
5.93,14.45,-2.85,6.59
5.84,-0.77,-1.04,6.69
7.40,12.74,0.47,6.80
3.46,1.99,1.49,6.90
5.18,0.46,4.58,7.15
3.44,6.50,12.37,7.26
6.03,6.94,6.16,7.36
7.02,-0.61,6.84,7.46
7.11,13.15,7.41,7.57
5.48,-0.64,4.95,7.67
11.35,13.91,6.82,7.78
4.76,4.83,2.92,7.88
6.37,5.31,5.74,7.98
5.01,14.56,2.69,8.09
6.41,12.72,-0.70,8.34
6.29,-4.36,0.21,8.44
6.32,10.86,-0.82,8.55
5.24,-3.08,2.40,8.65
9.98,-6.30,3.74,8.76
9.69,6.89,-1.19,8.86
7.05,3.27,0.29,8.96
5.42,13.19,2.14,9.07
6.92,2.48,-0.17,9.17
10.58,15.10,1.44,9.27
12.61,11.06,3.38,9.53
8.57,-0.30,0.49,9.64
5.73,4.89,5.74,9.74
5.62,10.42,3.69,9.84
6.32,-5.07,4.65,9.95
5.22,11.86,3.30,10.05
4.26,-0.18,5.76,10.15
8.87,-2.69,6.93,10.26
8.09,7.06,2.15,10.36
6.83,0.79,2.35,10.47
5.85,-0.15,5.88,10.72
6.45,10.65,6.62,10.83
5.81,1.10,1.26,10.93
11.32,9.16,3.65,11.04
11.43,-1.70,1.26,11.14
6.78,6.11,6.74,11.24
6.52,8.22,5.59,11.35
6.46,-6.63,8.02,11.45
6.48,7.88,7.14,11.56
4.51,-2.25,9.47,11.66
5.24,-1.07,3.90,11.92
3.61,10.69,11.17,12.02
4.46,5.50,6.67,12.13
5.79,-1.97,9.82,12.23
6.10,12.14,7.70,12.34
5.98,1.06,2.38,12.44
6.02,16.06,4.52,12.54
5.37,0.63,1.80,12.65
5.81,11.93,3.82,12.75
5.96,13.20,2.56,12.86
4.59,17.52,-3.86,13.12
6.01,2.91,-0.75,13.22
6.52,12.65,0.73,13.33
6.94,-1.07,-2.63,13.43
6.65,19.22,-1.59,13.54
2.94,9.68,-5.28,13.64
4.74,1.21,1.69,13.74
5.08,11.05,-0.96,13.85
6.70,-3.18,-3.56,13.95
5.26,17.94,-4.13,14.06
5.13,16.17,0.31,14.32
5.57,4.28,-3.23,14.43
4.59,16.58,2.54,14.53
5.02,5.00,-1.19,14.64
6.21,-2.59,3.27,14.74
6.01,10.02,1.47,14.84
5.55,1.21,-1.54,14.95
4.75,18.53,-0.36,15.05
8.75,-0.30,-2.03,15.16
5.95,7.41,-1.96,15.26
-0.50,1.54,11.21,15.53
3.55,7.91,4.75,15.63
4.95,3.08,6.05,15.73
5.90,11.93,4.97,15.84
6.26,-1.49,2.33,15.94
12.86,12.25,1.13,16.05
12.08,0.36,-0.69,16.15
7.12,8.56,1.54,16.25
6.24,9.60,1.03,16.36
6.27,-6.21,3.99,16.46
5.92,-4.52,5.71,16.73
5.39,11.32,7.33,16.83
5.05,2.25,3.44,16.93
4.32,13.54,8.56,17.04
6.42,2.17,4.02,17.14
6.57,-3.37,7.47,17.25
6.08,9.89,5.54,17.35
5.83,1.09,1.42,17.45
4.63,18.35,2.28,17.56
3.32,1.23,-0.86,17.66
4.48,-3.19,2.18,17.92
7.24,3.31,3.55,18.03
4.27,11.36,-0.25,18.13
5.57,1.24,1.25,18.23
6.01,12.85,3.17,18.34
6.73,-0.36,-0.54,18.44
4.82,19.72,2.54,18.55
2.08,10.90,-0.49,18.65
4.58,1.85,3.44,18.75
5.07,9.97,2.17,18.86
7.25,13.93,-4.66,19.12
5.68,3.25,-3.46,19.22
4.90,11.54,-0.67,19.33
2.27,0.54,1.43,19.43
5.75,4.24,7.91,19.53
5.99,6.47,2.18,19.64
5.79,1.36,3.33,19.74
6.24,12.13,2.90,19.85
6.63,0.88,-0.35,19.95
10.63,12.97,0.27,20.06
5.63,16.30,-0.42,20.32
6.14,-4.36,1.43,20.42
5.76,4.79,3.00,20.53
7.19,6.26,1.34,20.63
