Roll (x), Pitch (Y), Yaw (Z), Time (s)
3.07,13.23,0.48,0.00
0.18,5.52,-18.30,0.10
5.36,-3.99,-5.20,0.21
6.18,20.69,-4.26,0.31
5.51,-10.90,-22.76,0.42
6.70,21.32,-13.37,0.52
7.38,-5.90,-12.25,0.62
3.62,1.30,-6.59,0.73
3.80,15.90,-9.96,0.83
7.45,-4.26,-6.45,0.94
6.52,-8.30,4.23,1.20
8.64,17.70,8.40,1.31
17.77,4.39,-10.77,1.41
12.49,14.42,-8.36,1.51
10.40,8.82,-16.00,1.62
6.09,2.22,-4.40,1.72
9.87,14.90,-4.55,1.83
2.11,-6.84,-3.01,1.93
7.05,18.12,0.60,2.03
4.67,-1.38,-2.25,2.14
8.16,-8.69,-10.49,2.40
4.97,12.74,-4.49,2.51
3.29,-3.26,-9.40,2.61
4.68,-9.58,-4.48,2.71
6.27,19.58,-3.36,2.82
14.04,-9.63,-21.15,2.92
12.54,16.19,-14.74,3.02
10.10,-9.93,-14.63,3.13
7.92,0.77,-5.73,3.23
7.22,14.75,-7.75,3.34
20.71,9.46,-21.43,3.61
10.30,-4.48,-16.48,3.71
8.44,22.70,-12.14,3.82
13.11,-6.47,-26.96,3.92
10.15,9.27,-20.84,4.02
7.22,-3.74,-24.49,4.13
5.83,-3.16,-12.16,4.23
5.72,14.54,-12.21,4.33
2.04,-1.66,-4.87,4.44
11.55,3.63,8.69,4.54
6.78,30.27,12.29,4.82
11.48,-1.96,-7.52,4.92
7.30,11.70,-3.88,5.02
6.30,-1.37,-11.31,5.13
6.13,-3.12,-5.23,5.23
6.88,13.19,-5.88,5.34
5.02,-5.93,1.71,5.44
14.72,-6.20,13.83,5.54
8.43,-11.11,9.71,5.65
6.00,-8.47,18.16,5.75
10.88,20.04,18.12,6.02
5.89,12.07,10.76,6.12
5.84,-4.17,16.91,6.23
9.97,16.36,14.02,6.33
4.01,-17.57,4.06,6.43
11.04,21.68,5.30,6.54
10.29,1.26,3.28,6.64
8.30,-5.02,3.05,6.75
6.97,11.89,-1.47,6.85
5.84,-3.17,7.66,6.95
8.43,-6.98,13.79,7.22
8.58,16.39,17.40,7.32
9.06,-0.47,0.08,7.42
10.92,14.55,4.49,7.53
8.66,8.35,-4.61,7.63
5.20,5.61,5.02,7.74
8.59,15.92,3.28,7.84
4.02,-11.11,6.19,7.94
8.40,14.67,9.01,8.05
10.98,-5.39,6.24,8.15
9.21,-6.86,2.60,8.41
3.90,13.35,9.84,8.51
14.11,7.13,0.22,8.62
9.50,-6.27,0.58,8.72
8.14,16.23,4.20,8.82
11.77,-2.55,-12.38,8.93
5.15,11.78,-6.71,9.03
3.02,-0.35,-12.18,9.14
4.96,5.14,-2.94,9.24
7.08,17.57,-3.82,9.34
6.11,27.35,-8.39,9.61
7.27,-11.47,-5.43,9.71
9.48,9.93,3.78,9.81
10.57,-1.34,-0.55,9.92
6.61,12.87,4.21,10.02
5.49,9.44,-2.62,10.13
4.85,-6.77,1.25,10.23
7.84,19.40,0.75,10.33
5.90,-6.33,-2.67,10.44
5.35,18.97,1.98,10.54
14.49,30.55,6.18,10.81
6.77,-1.91,3.10,10.91
1.00,7.79,9.49,11.02
4.09,17.28,2.63,11.12
6.27,-4.58,3.06,11.22
3.96,23.43,2.75,11.33
4.47,-10.00,0.49,11.43
9.13,6.48,3.69,11.53
7.48,-0.56,-1.74,11.64
5.47,-0.23,4.51,11.74
7.08,-19.73,6.44,12.01
7.33,7.96,3.26,12.11
11.76,-2.25,-0.91,12.22
8.72,15.62,7.93,12.32
11.19,-3.75,2.19,12.42
8.32,16.95,3.82,12.53
5.86,5.03,-0.65,12.63
4.27,-2.47,2.92,12.73
8.31,17.68,1.67,12.84
5.75,-5.28,0.86,12.94
