Row (x), Pitch (Y), Yaw (Z), Time (s)
7.91,5.47,1.93,0.00
7.42,5.51,1.97,0.10
7.69,5.73,2.06,0.21
7.81,5.64,2.17,0.31
7.41,5.58,2.25,0.42
7.22,5.67,2.31,0.52
7.84,6.01,2.42,0.62
7.76,5.44,2.48,0.73
8.04,5.60,2.55,0.83
7.96,5.41,2.65,0.94
7.66,5.86,2.93,1.18
7.38,5.57,2.92,1.28
7.67,5.72,2.95,1.39
7.61,5.44,2.94,1.49
7.61,5.56,2.96,1.60
7.77,5.61,3.02,1.70
7.72,5.64,3.03,1.80
7.40,5.81,3.09,1.91
7.60,5.62,3.14,2.01
7.81,5.87,3.17,2.12
7.46,5.21,3.39,2.36
7.48,5.61,3.34,2.46
7.62,5.55,3.33,2.57
7.52,5.32,3.31,2.67
10.91,-1.99,1.43,2.78
8.22,20.67,3.85,2.88
7.17,5.77,-4.66,2.98
6.01,17.34,-1.86,3.09
1.37,11.69,-12.53,3.19
3.85,-1.56,-1.69,3.30
6.34,-5.55,21.78,3.55
9.61,11.89,18.26,3.65
5.91,-7.04,14.46,3.76
5.45,24.51,19.43,3.86
6.41,-26.37,17.80,3.97
4.32,-4.04,18.94,4.07
4.59,14.53,10.72,4.17
11.44,-0.76,10.90,4.28
6.51,24.80,12.20,4.38
6.00,10.13,5.38,4.49
9.49,-31.66,-9.19,4.75
7.73,13.59,1.09,4.86
7.81,-3.59,-4.45,4.96
11.64,15.13,4.38,5.06
7.39,18.33,2.39,5.17
8.69,-1.93,4.55,5.27
9.79,15.94,7.98,5.38
4.62,7.34,3.29,5.48
3.85,5.07,11.17,5.58
10.53,-6.45,2.83,5.69
18.05,8.25,-19.57,5.95
8.85,-4.21,-7.16,6.05
8.38,17.97,-6.70,6.15
3.35,-18.97,-13.35,6.26
5.25,12.54,-3.71,6.36
5.23,3.68,-10.90,6.47
7.40,13.36,-6.00,6.57
6.81,18.32,-8.27,6.67
9.63,-0.83,-4.04,6.78
7.94,18.93,1.67,6.88
10.59,28.56,4.29,7.15
11.32,0.62,-14.99,7.25
16.91,-0.54,-6.03,7.36
7.46,1.43,-11.67,7.46
7.31,10.67,0.80,7.57
9.41,15.64,0.67,7.67
7.58,-7.85,2.10,7.77
12.10,25.22,4.90,7.88
7.94,1.37,2.87,7.98
8.00,1.04,6.44,8.08
2.94,5.49,19.17,8.34
5.48,8.96,6.83,8.45
6.12,-4.29,12.91,8.55
9.07,20.62,11.97,8.65
7.93,-24.07,3.62,8.76
15.34,5.42,12.42,8.86
10.03,7.03,5.02,8.97
9.67,16.87,12.40,9.07
8.13,16.96,10.05,9.18
7.81,-2.51,12.39,9.28
12.79,-5.36,13.43,9.54
10.75,20.30,13.51,9.64
10.34,6.41,2.64,9.75
5.29,19.82,5.53,9.85
10.53,6.45,-5.66,9.96
6.75,-2.99,3.91,10.06
8.57,18.46,2.77,10.16
2.86,-10.59,-2.96,10.27
4.08,13.81,5.86,10.37
7.73,-8.15,0.10,10.48
-4.94,0.67,-3.59,10.74
2.25,6.57,5.11,10.85
5.78,4.10,-3.93,10.95
8.81,-9.70,0.69,11.06
11.77,20.31,2.21,11.16
13.23,-11.91,-12.58,11.26
24.50,-13.86,-4.57,11.37
12.90,-4.77,-9.30,11.47
8.58,5.76,1.81,11.57
9.23,12.96,1.47,11.68
8.55,6.63,-12.86,11.95
9.37,-7.27,-6.25,12.06
