Roll (x), Pitch (Y), Yaw (Z), Time (s)
-1.00,-6.93,1.94,0.00
-1.18,-7.20,1.96,0.10
-1.16,-7.57,2.12,0.21
-1.29,-7.37,2.20,0.31
-1.49,-7.03,2.25,0.42
-1.36,-7.12,2.34,0.52
-1.60,-7.29,2.43,0.62
-1.11,-7.42,2.56,0.73
-1.31,-7.36,2.66,0.83
-1.42,-7.32,2.73,0.94
-1.60,-7.17,3.02,1.23
-1.49,-7.05,2.98,1.33
-1.49,-7.00,3.00,1.44
-1.28,-7.44,3.01,1.54
-1.18,-7.39,3.03,1.64
-1.36,-7.01,3.04,1.75
-1.42,-7.29,3.10,1.85
-1.40,-7.36,3.17,1.96
-1.23,-7.50,3.21,2.06
-1.14,-7.43,3.25,2.16
-0.97,-7.40,3.45,2.46
-1.22,-7.28,3.40,2.56
-1.19,-7.13,3.35,2.66
-1.29,-7.41,3.33,2.77
-1.17,-7.33,3.35,2.87
-1.20,-7.43,3.37,2.98
-1.27,-7.18,3.39,3.08
-1.32,-6.82,3.42,3.18
-1.46,-6.75,3.42,3.29
-1.37,-7.17,3.45,3.39
-1.52,-6.93,3.65,3.68
-1.14,-7.45,3.56,3.79
-1.10,-7.35,3.51,3.89
-1.26,-7.10,3.45,4.00
-1.32,-7.07,3.47,4.10
-1.46,-7.19,3.48,4.21
-1.32,-7.24,3.46,4.31
-1.31,-7.47,3.45,4.41
-1.19,-7.34,3.46,4.52
-1.54,-7.10,3.50,4.62
-1.21,-7.01,3.67,4.91
-1.19,-7.08,3.59,5.02
-1.00,-7.53,3.52,5.12
-0.92,-7.68,3.52,5.22
-1.26,-7.21,3.50,5.33
-1.35,-7.15,3.51,5.43
-1.39,-7.35,3.50,5.54
-1.33,-7.40,3.48,5.64
-1.23,-7.59,3.48,5.74
-1.23,-7.43,3.47,5.85
-1.18,-6.90,3.73,6.15
-1.34,-7.00,3.63,6.26
-1.21,-7.34,3.54,6.36
-1.38,-7.22,3.50,6.47
-1.51,-7.06,3.46,6.57
-1.26,-7.19,3.45,6.67
-1.17,-7.21,3.46,6.78
-1.26,-7.25,3.46,6.88
-1.19,-7.81,3.50,6.99
-1.23,-7.68,3.53,7.09
-1.17,-7.23,3.76,7.39
-0.98,-6.92,3.65,7.49
-1.30,-7.29,3.59,7.60
-1.35,-6.94,3.54,7.70
-1.22,-7.11,3.52,7.81
-1.26,-7.53,3.50,7.91
-1.24,-7.36,3.50,8.01
-1.48,-7.17,3.50,8.12
-1.37,-6.98,3.47,8.22
-1.16,-7.30,3.47,8.33
-0.99,-7.38,3.67,8.63
-1.31,-7.74,3.54,8.73
-1.37,-7.43,3.48,8.84
-1.40,-7.25,3.45,8.94
-1.45,-7.05,3.44,9.05
-1.41,-7.00,3.43,9.15
-1.30,-7.45,3.44,9.25
-1.52,-7.34,3.46,9.36
-1.19,-7.21,3.47,9.46
-1.27,-6.93,3.50,9.56
-1.27,-7.07,3.66,9.85
-1.48,-6.78,3.54,9.96
-1.39,-6.95,3.51,10.06
-1.25,-7.22,3.45,10.17
-1.00,-7.43,3.46,10.27
-1.08,-7.48,3.43,10.38
-0.88,-7.40,3.46,10.48
-1.20,-7.06,3.46,10.58
